ProductRef,ProductName,ProductCatID,Category Name,Sub Category,UnitMeasureName
700001,"Wrench, Open End, 3 1/2""",1,Medical Equipment,Unsorted,LB
700002,"Mattress, used, Hill Rom Total Care",1,Medical Equipment,Furnishings Hospital/Clinic,CASE
700005,Books and Journals,1,Medical Equipment,Medical Books & Journals,LB
702067,"Accessories, Mammogram, Mag Stand, Covered",5,Bio Med,Biomedical Accessories,BOX
700008,Dental Supplies,2,Medical Supplies,Dental,LB
700009,Diabetic,1,Medical Equipment,Diabetic,LB
700010,Dialysis,1,Medical Equipment,Dialysis,LB
700011,Drainage / Irrigation Suction,1,Medical Equipment,Drainage/Irrigation,LB
700012,"Drapes, Fenestrated & general (non-sterile)",2,Medical Supplies,Drapes/Linens,LB
700013,"Drapes, Impervious (non-sterile)",2,Medical Supplies,Drapes/Linens,LB
700014,"Drapes, Sterile",1,Medical Equipment,Drapes/Linens,LB
700016,Ear/Nose/ Throat,1,Medical Equipment,"Ear, Nose &Throat",LB
700017,"Beds, Stryker MPS, w/o Mattress",1,Medical Equipment,Furnishings Hospital/Clinic,CASE
700019,Endo/Lapro,1,Medical Equipment,Endoscopic/Laparoscopic,LB
700020,Feeding,1,Medical Equipment,Feeding,LB
700021,Foam,1,Medical Equipment,Unsorted,LB
700022,Gleaning For The World assorted supplies,1,Medical Equipment,Unsorted,LB
700023,General Medical,1,Medical Equipment,Unsorted,LB
700024,General Surgical #1 ,1,Medical Equipment,Surgical,LB
700025,General Surgical #2,1,Medical Equipment,Surgical,LB
700026,"SUPPORTS, PATELLA KNEE BRACE",7,World Vision,Orthopedic,BOX
700027,Gloves - Do Not Use,1,Medical Equipment,Gloves,LB
700028,"Gloves, Masks/Caps & Shoe covers ",1,Medical Equipment,Surgical,LB
700029,"Gowns, Isolation",1,Medical Equipment,Medical Apparel (Disposable),LB
700030,"Gowns, Non-Sterile",1,Medical Equipment,Medical Apparel (Disposable),LB
700031,"Gowns, Sterile",1,Medical Equipment,Medical Apparel (Disposable),LB
700032,"Drapes, Ioban",1,Medical Equipment,Drapes/Linens,LB
700033,IV and Blood Transfusion,1,Medical Equipment,Intravenous,LB
700034,Lab,1,Medical Equipment,Laboratory,LB
700035,Linens,1,Medical Equipment,Drapes/Linens,LB
700036,"Drapes, Magnetic",1,Medical Equipment,Drapes/Linens,LB
700037,Masks / Caps / Shoe Covers,2,Medical Supplies,Masks,LB
700044,"SURGICAL PACKS, STD LEG FRACTURE PLUS II PACK",7,World Vision,Surgical Packs & Trays,BOX
700051,Plastics,1,Medical Equipment,Plastics,LB
700052,Sharps Containers/ Biohazard,1,Medical Equipment,BioHazard/Sharps,LB
710394,"Agitator, Laboratory Agitator",5,Bio Med,Laboratory,BOX
700061,"Towels, cloth",2,Medical Supplies,Drapes/Linens,LB
700062,Stryker Assorted Medical Supplies,2,Medical Supplies,Unsorted,LB
720136,"Airway Clearance System, Therapy Vest ACS ",5,Bio Med,Respiratory,BOX
702130,Anaerobic Environmental Chamber/Incubator,5,Bio Med,Bio-Medical Equipment,BOX
722327,Abdominal Pad KN,6,Kendall,Dressings,BOX
